ISBN,Title,Author,PublicationYear,Price,Category,EditionNumber,Quantity,Language,NumReviews
0782140661,OCP: Oracle9i Certification Kit,Chip Dawes,2002,104.97,Computer,1st,18,English,756
0782140661,OCP: Oracle9i Certification Kit,Biju Thomas,2002,104.97,Computer,1st,17,English,63
0782140661,OCP: Oracle9i Certification Kit,Doug Stuns,2002,104.97,Computer,1st,49,English,962
0782140661,OCP: Oracle9i Certification Kit,Matthew Weishan,2002,104.97,Computer,1st,13,English,733
0782140661,OCP: Oracle9i Certification Kit,Joseph C. Johnson,2002,104.97,Computer,1st,45,English,862
0072227885,SQL Server 2000 for Experienced DBA's,Brian Knight,2003,34.99,Computer,1st,90,English,491
0471200247,The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling,Ralph Kimball,2002,50.00,Computer,1st,43,English,738
0471200247,The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling,Margy Ross,2002,50.00,Computer,1st,66,English,35
0072227710,How To Do Everything with Your Tablet PC,Bill Mann,2003,17.49,Computer,1st,83,English,153
1558605525,Data Mining: Practical Machine Learning Tools and Techniques with Java Implementations,Ian H. Witten,1999,49.95,Computer,1st,10,English,498
1558605525,Data Mining: Practical Machine Learning Tools and Techniques with Java Implementations,Eibe Frank,1999,49.95,Computer,1st,95,English,762
0972263608,Creating Documents with BusinessObjects 5.1,Robert D. Schmidt,2002,99.00,Computer,1st,60,English,909
0201615762,The Guru's Guide to Transact-SQL,Ken Henderson,2000,38.49,Computer,1st,0,English,526
0782140114,Access 2002 Developer's Handbook Set,Paul Litwin,2001,69.99,Computer,1st,91,English,103
0782140114,Access 2002 Developer's Handbook Set,Ken Getz,2001,69.99,Computer,1st,31,English,665
0782140114,Access 2002 Developer's Handbook Set,Mike Gunderloy,2001,69.99,Computer,1st,56,English,162
0321125169,ColdFusion MX Web Application Construction Kit,Ben Forta,2002,38.49,Computer,1st,48,English,483
0321125169,ColdFusion MX Web Application Construction Kit,Nate Weiss,2002,38.49,Computer,1st,17,English,204
0321125169,ColdFusion MX Web Application Construction Kit,Leon Chalnick,2002,38.49,Computer,1st,45,English,450
0321125169,ColdFusion MX Web Application Construction Kit,Angela C. Buraglia,2002,38.49,Computer,1st,15,English,277
0805317554,Fundamentals of Database Systems,Ramez A. Elmasri,1999,95.00,Computer,1st,19,English,999
0805317554,Fundamentals of Database Systems,Shamkant B. Navathe,1999,95.00,Computer,1st,46,English,67
1861004486,Professional SQL Server 2000 Programming,Rob Vieira,2000,41.99,Computer,1st,66,English,865
0735712123,MySQL,Paul DuBois,2003,34.99,Computer,1st,75,English,490
0425188361,Cerulean Sins,Laurell K. Hamilton,2003,16.07,Literature & Fiction,1st,66,English,74
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,14.00,Literature & Fiction,1st,33,English,191
0596004478,Google Hacks,Tara Calishain,2003,24.95,Computer,1st,20,English,196
0596004478,Google Hacks,Rael Dornfest,2003,24.95,Computer,1st,60,English,510
0071414339,"Investing in Fixer-Uppers : A Complete Guide to Buying Low, Fixing Smart, Adding Value, and Selling (or Renting) High",Jay P. Decima,2003,18.95,Accounting & Finance,1st,95,English,950
0312311354,The Pianist,Wladyslaw Szpilman,2003,13.00,Literature & Fiction,1st,0,English,984
0312287941,The Girl in the Red Coat: A Memoir,Roma Ligocka,2002,25.95,Literature & Fiction,1st,41,English,990
0312243022,The Hours,Michael Cunningham,2000,3.44,Literature & Fiction,1st,81,English,679
0609610570,Execution: The Discipline of Getting Things Done,Larry Bossidy,2002,27.50,Reference,1st,63,English,729
0609610570,Execution: The Discipline of Getting Things Done,Ram Charan,2002,27.50,Reference,1st,58,English,350
0609610570,Execution: The Discipline of Getting Things Done,Charles Burck,2002,27.50,Reference,1st,85,English,442
